"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U13,U12";"CP_Radial_D18.0mm_P7.50mm";2;"2200";;;
2;"U18";"D_5W_P12.70mm_Horizontal";1;"D";;;
3;"J3";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Conn_01x03";;;
4;"J1";"IDC-Header_2x06_P2.54mm_Vertical";1;"Conn_01x12";;;
5;"R103";"TO-220-2_Vertical";1;"25";;;
6;"U17";"TO-220-3_Vertical";1;"N channel";;;
7;"U10";"DIP-4_W7.62mm";1;"Optocoupler";;;
8;"U9";"TO-220-3_Vertical";1;"BSP89";;;
9;"U15";"DIP-4_W7.62mm";1;"Oprocoupler";;;
10;"R42,R69,R15,R4,R13,R75,R68,R74,R79,R67,R73,R33,R2,R46,R41,R36,R16,R71,R37,R45,R80,R39,R9,R47,R1,R10,R66,R7,R38,R43,R48,R8,R12,R11,R77,R35,R70,R76,R14,R6,R5,R78,R65,R72,R40,R44,R34,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";48;"750";;;
11;"U5,U4,U6,U1,U3,U2";"SOIC16-N_MC_MCH-L";6;"MCP3008";;;
12;"R95,R82,R84,R93,R29,R62,R90,R57,R18,R51,R56,R23,R53,R26,R58,R59,R60,R94,R86,R25,R27,R64,R55,R24,R50,R20,R88,R61,R22,R28,R85,R49,R17,R89,R32,R54,R87,R92,R81,R19,R52,R63,R96,R21,R30,R91,R31,R83";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";48;"14k";;;
13;"D28,D84,D22,D26,D53,D20,D57,D31,D63,D91,D32,D86,D76,D60,D23,D92,D64,D27,D79,D96,D25,D95,D49,D51,D90,D19,D58,D94,D29,D55,D21,D56,D14,D61,D18,D52,D97,D88,D85,D59,D93,D30,D54,D83,D24,D62,D87,D89,D50";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";49;"LED";;;
14;"D4,D44,D66,D67,D11,D70,D38,D82,D13,D15,D5,D37,D6,D75,D33,D80,D65,D3,D8,D43,D73,D68,D35,D17,D36,D77,D42,D2,D71,D81,D16,D39,D9,D12,D47,D7,D40,D48,D34,D45,D46,D72,D78,D1,D10,D69,D74,D41";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";48;"D_Photo";;;
15;"R98,U19,R102,R97,R101,R100,R99";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"10K";;;
16;"U14,U11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"210";;;
17;"U16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
18;"U8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"115k";;;
19;"U7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"30k";;;
20;"U20";"Pads";1;"Conn_01x02";;;
